                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.09634,                0.17214,                0.87505,                0.99981,                      1,                  0.995,                0.99498,                0.15904,                0.21009,                0.50449,              0.0049675,              0.0049675,              0.0049675
                     63,                0.09502,                0.17849,                 0.8765,                0.99981,                      1,                  0.995,                0.99457,                0.17714,                0.26722,                0.51101,               0.004885,               0.004885,               0.004885
                     64,                0.09809,                0.17521,                 0.8754,                0.99984,                      1,                  0.995,                0.99491,                0.15965,                0.22265,                 0.5098,              0.0048025,              0.0048025,              0.0048025
                     65,                0.09518,                0.17583,                0.87504,                0.99982,                      1,                  0.995,                  0.995,                0.15514,                0.22441,                0.50105,                0.00472,                0.00472,                0.00472
                     66,                0.09483,                 0.1731,                0.87521,                 0.9998,                      1,                  0.995,                0.99425,                0.15816,                0.22355,                0.49742,              0.0046375,              0.0046375,              0.0046375
                     67,                0.09776,                0.17775,                0.87856,                0.99967,                      1,                  0.995,                0.99499,                0.16726,                0.21878,                0.51041,               0.004555,               0.004555,               0.004555
                     68,                0.09587,                0.17396,                0.87356,                0.99983,                      1,                  0.995,                0.99499,                0.16524,                0.22428,                0.50976,              0.0044725,              0.0044725,              0.0044725
                     69,                0.08989,                0.16673,                0.87657,                 0.9998,                      1,                  0.995,                  0.995,                0.17924,                0.23239,                0.51247,                0.00439,                0.00439,                0.00439
                     70,                0.09437,                0.16909,                0.87582,                0.99986,                      1,                  0.995,                  0.995,                0.15769,                0.21352,                0.50143,              0.0043075,              0.0043075,              0.0043075
                     71,                0.09519,                0.16627,                0.87571,                0.99986,                      1,                  0.995,                  0.995,                0.16011,                0.23446,                0.50752,               0.004225,               0.004225,               0.004225
                     72,                0.09266,                0.16479,                0.87686,                0.99985,                      1,                  0.995,                  0.995,                0.15243,                0.21983,                0.50185,              0.0041425,              0.0041425,              0.0041425
                     73,                 0.0899,                0.16129,                0.87564,                0.99983,                      1,                  0.995,                  0.995,                0.15703,                0.23527,                0.50344,                0.00406,                0.00406,                0.00406
                     74,                 0.0872,                0.15908,                0.87295,                0.99981,                      1,                  0.995,                  0.995,                0.14377,                0.20823,                0.48896,              0.0039775,              0.0039775,              0.0039775
                     75,                0.08942,                0.16073,                0.87419,                0.99981,                      1,                  0.995,                0.99497,                0.14642,                0.21488,                0.48849,               0.003895,               0.003895,               0.003895
                     76,                0.08829,                0.15653,                0.87457,                0.99982,                      1,                  0.995,                0.99499,                0.14462,                0.21035,                0.48958,              0.0038125,              0.0038125,              0.0038125
                     77,                0.08606,                0.15579,                0.87531,                0.99932,                0.99988,                  0.995,                  0.995,                0.14391,                0.21248,                0.48189,                0.00373,                0.00373,                0.00373
                     78,                0.08942,                0.16118,                 0.8769,                0.99981,                      1,                  0.995,                0.99499,                0.12074,                0.16743,                0.47875,              0.0036475,              0.0036475,              0.0036475
                     79,                0.08722,                0.15679,                0.87678,                0.99978,                      1,                  0.995,                  0.995,                0.13461,                0.19562,                0.48017,               0.003565,               0.003565,               0.003565
                     80,                0.08522,                 0.1515,                0.87571,                 0.9998,                      1,                  0.995,                  0.995,                0.11905,                0.16779,                0.47403,              0.0034825,              0.0034825,              0.0034825
                     81,                0.08546,                0.15179,                0.87435,                0.99986,                      1,                  0.995,                  0.995,                0.13029,                0.17846,                0.48355,                 0.0034,                 0.0034,                 0.0034
                     82,                0.08107,                0.14589,                0.87466,                0.99983,                      1,                  0.995,                  0.995,                0.12906,                 0.1846,                0.48025,              0.0033175,              0.0033175,              0.0033175
                     83,                  0.083,                 0.1491,                0.87658,                0.99986,                      1,                  0.995,                  0.995,                0.13809,                0.19358,                0.48846,               0.003235,               0.003235,               0.003235
                     84,                0.08218,                0.14996,                0.87593,                0.99986,                      1,                  0.995,                  0.995,                0.13098,                0.19205,                0.48138,              0.0031525,              0.0031525,              0.0031525
                     85,                0.08062,                0.14477,                0.87538,                0.99985,                      1,                  0.995,                  0.995,                0.14513,                0.21117,                0.49078,                0.00307,                0.00307,                0.00307
                     86,                 0.0806,                0.14482,                 0.8756,                0.99986,                      1,                  0.995,                  0.995,                0.14997,                0.21798,                0.49434,              0.0029875,              0.0029875,              0.0029875
                     87,                0.07864,                0.14085,                0.87393,                0.99987,                      1,                  0.995,                  0.995,                0.15356,                0.21884,                0.49802,               0.002905,               0.002905,               0.002905
                     88,                0.07855,                0.14022,                0.87252,                0.99986,                      1,                  0.995,                  0.995,                0.15672,                0.22812,                0.49861,              0.0028225,              0.0028225,              0.0028225
                     89,                0.07621,                0.14107,                0.87497,                0.99985,                      1,                  0.995,                  0.995,                 0.1517,                0.21944,                0.49566,                0.00274,                0.00274,                0.00274
                     90,                0.07721,                0.14048,                0.87366,                0.99986,                      1,                  0.995,                  0.995,                0.16134,                0.23709,                0.50126,              0.0026575,              0.0026575,              0.0026575
                     91,                 0.0749,                0.13962,                0.87567,                0.99985,                      1,                  0.995,                  0.995,                0.15104,                0.23429,                0.49818,               0.002575,               0.002575,               0.002575
                     92,                0.07339,                0.13366,                0.87228,                0.99985,                      1,                  0.995,                  0.995,                0.14654,                0.21806,                0.49452,              0.0024925,              0.0024925,              0.0024925
                     93,                0.07204,                0.12962,                0.87304,                0.99986,                      1,                  0.995,                  0.995,                0.15315,                0.23898,                0.49615,                0.00241,                0.00241,                0.00241
                     94,                 0.0712,                0.12891,                 0.8721,                0.99986,                      1,                  0.995,                  0.995,                0.14837,                0.21858,                0.49507,              0.0023275,              0.0023275,              0.0023275
                     95,                0.06984,                 0.1254,                0.87513,                0.99986,                      1,                  0.995,                  0.995,                0.14258,                0.21047,                0.49276,               0.002245,               0.002245,               0.002245
                     96,                0.06749,                0.12842,                0.87067,                0.99986,                      1,                  0.995,                  0.995,                0.14415,                0.21738,                0.48982,              0.0021625,              0.0021625,              0.0021625
                     97,                0.06676,                0.12593,                0.87436,                0.99986,                      1,                  0.995,                  0.995,                0.13742,                0.20226,                0.48384,                0.00208,                0.00208,                0.00208
                     98,                0.06911,                0.12748,                0.87168,                0.99986,                      1,                  0.995,                  0.995,                 0.1444,                 0.2135,                0.49355,              0.0019975,              0.0019975,              0.0019975
                     99,                 0.0652,                0.12128,                 0.8726,                0.99987,                      1,                  0.995,                  0.995,                0.13445,                 0.2001,                0.48664,               0.001915,               0.001915,               0.001915
                    100,                0.06324,                0.12069,                0.87213,                0.99987,                      1,                  0.995,                  0.995,                0.12971,                0.19551,                0.48082,              0.0018325,              0.0018325,              0.0018325
                    101,                0.06378,                0.11903,                0.87131,                0.99987,                      1,                  0.995,                  0.995,                0.12903,                0.19098,                0.47912,                0.00175,                0.00175,                0.00175
                    102,                0.06254,                0.11603,                0.87298,                0.99986,                      1,                  0.995,                  0.995,                0.13925,                0.20461,                0.48346,              0.0016675,              0.0016675,              0.0016675
                    103,                0.06407,                0.11775,                 0.8748,                0.99986,                      1,                  0.995,                  0.995,                0.14497,                0.21587,                0.48811,               0.001585,               0.001585,               0.001585
                    104,                 0.0625,                0.11436,                0.87174,                0.99986,                      1,                  0.995,                  0.995,                0.14601,                0.21911,                0.49364,              0.0015025,              0.0015025,              0.0015025
                    105,                0.06003,                0.11468,                0.86947,                0.99987,                      1,                  0.995,                  0.995,                0.15206,                0.23661,                0.49853,                0.00142,                0.00142,                0.00142
                    106,                0.05954,                0.11506,                0.87298,                0.99986,                      1,                  0.995,                  0.995,                0.15371,                0.24147,                0.49921,              0.0013375,              0.0013375,              0.0013375
                    107,                0.05833,                0.11035,                0.87077,                0.99985,                      1,                  0.995,                  0.995,                0.14773,                 0.2297,                0.49293,               0.001255,               0.001255,               0.001255
                    108,                  0.057,                0.10599,                0.87103,                0.99985,                      1,                  0.995,                0.99495,                0.13581,                0.20657,                0.48524,              0.0011725,              0.0011725,              0.0011725
                    109,                0.05575,                 0.1056,                0.87031,                0.99984,                      1,                  0.995,                  0.995,                0.13489,                0.20904,                 0.4839,                0.00109,                0.00109,                0.00109
                    110,                0.05367,                0.10176,                0.87317,                0.99983,                      1,                  0.995,                0.99466,                0.13612,                0.21286,                0.48567,              0.0010075,              0.0010075,              0.0010075
                    111,                0.04983,                0.07386,                0.85755,                0.99985,                      1,                  0.995,                  0.995,                0.15455,                 0.2365,                0.50058,               0.000925,               0.000925,               0.000925
                    112,                0.04153,                0.05304,                0.85249,                0.99993,                      1,                  0.995,                  0.995,                0.16023,                0.24562,                0.50661,              0.0008425,              0.0008425,              0.0008425
                    113,                0.03709,                0.04665,                0.85499,                0.99993,                      1,                  0.995,                  0.995,                0.16851,                0.25871,                0.51266,                0.00076,                0.00076,                0.00076
                    114,                0.03592,                0.04742,                 0.8525,                0.99996,                      1,                  0.995,                  0.995,                0.17338,                0.26534,                 0.5145,              0.0006775,              0.0006775,              0.0006775
                    115,                 0.0326,                0.04171,                 0.8565,                0.99997,                      1,                  0.995,                  0.995,                0.16938,                 0.2603,                0.51149,               0.000595,               0.000595,               0.000595
                    116,                0.03071,                0.04091,                0.85397,                0.99996,                      1,                  0.995,                  0.995,                0.16671,                0.25945,                0.50922,              0.0005125,              0.0005125,              0.0005125
                    117,                 0.0285,                0.03735,                0.85266,                0.99996,                      1,                  0.995,                  0.995,                0.16522,                0.26102,                0.50851,                0.00043,                0.00043,                0.00043
                    118,                0.02692,                0.03558,                0.85236,                0.99996,                      1,                  0.995,                  0.995,                0.16483,                0.26375,                0.50799,              0.0003475,              0.0003475,              0.0003475
                    119,                0.02514,                0.03378,                0.85334,                0.99997,                      1,                  0.995,                  0.995,                0.16301,                0.26509,                0.50671,               0.000265,               0.000265,               0.000265
                    120,                0.02438,                0.03287,                0.85221,                0.99997,                      1,                  0.995,                  0.995,                0.16303,                0.26815,                0.50641,              0.0001825,              0.0001825,              0.0001825
